external_id,purchase_collection
product_template_12RI4131_418410,RIO
product_template_35SL0032_401697,STH
product_template_12RI4100_172037,RIO
product_template_10585_5d138fc5,SSX
product_template_10584_deaa8302,SSX
product_template_12SK0452_705400,STH
product_template_11SK0452_799659,STH
product_template_9664_35d6a77d,STH
product_template_9665_1f939cc7,STH
product_template_9660_a299b909,STH
product_template_9661_60132136,STH
product_template_12SK1121_299151,STH
product_template_11SK1121_810951,STH
product_template_12SK4131_ESP_722608,STH
product_template_12SK1222_804595,STH
product_template_11SK1222_758238,STH
product_template_8401_41e7be97,STH
product_template_8519_b61bd38b,STH
product_template_13132_9d9dae0b,SSX
product_template_13128_b01d940b,SSX
product_template_8817_c5fb5221,STH
product_template_8816_614012e2,STH
product_template_13133_4d0c97bd,STH/SSX
product_template_13129_e9aedfbe,STH/SSX
product_template_8740_e8f883a5,TABLERO MECANIZADO
product_template_8739_3f193362,TABLERO MECANIZADO
product_template_12SX1022_371152,SSX
product_template_11SX1022_960756,SSX
product_template_12LT5547_853735,LIT
product_template_11LT5547_959792,LIT
product_template_P_NC015_548677,NCL
product_template_9541_c6bdc1e3,HUG
product_template_582NC012_580616,NCL
product_template_NC012_451965,NCL
product_template_10104_7b580e9e,HUG
product_template_10103_74733658,HUG
product_template_10110_3af5f1b1,HUG
product_template_10111_22040b07,HUG
product_template_9411_759011dc,DUN
product_template_9413_ecc2f135,DUN
product_template_9026_cba684c1,DUN
product_template_9992_5bf63388,DUN
product_template_13322_30461f85,ESTRUCTURA METALICA
product_template_12403_9073faed,DUN
product_template_12ST0100_559869,STH
product_template_11ST0100_500192,STH
product_template_9385_5b615ef0,STH
product_template_11ST0201_890919,STH
product_template_9387_9c4322d5,STH
product_template_11ST0202_670672,STH
product_template_70660_600828,TAC
product_template_HP0120_749027,HUG
product_template_12SK5301_912358,STH
product_template_11SK5301_972701,STH
product_template_12LO6113_744949,LIT
product_template_11LO6113_282597,LIT
product_template_12LO6123_723587,LIT
product_template_11LO6123_648650,LIT
product_template_12LO6133_779887,LIT
product_template_11LO6133_300431,LIT
product_template_12LO6153_756408,LIT
product_template_11LO6153_721402,LIT
product_template_11LO6143_965035,LIT
product_template_12LO6103_824004,LIT
product_template_11LO6103_156824,LIT
product_template_12SK5022_254001,STH
product_template_11SK5022_585052,STH
product_template_12624_ed68cfcd,MLM
product_template_12621_2895ff2d,ESTRUCTURA METALICA
